County,id2,Population,Deaths,rate,high_rate,low_rate
"Bennett County, South Dakota",46007,3460,0.0,0.0,0,1
"Bennington County, Vermont",50003,36191,17.0,4.697300433809511e-05,0,0
"Benson County, North Dakota",38005,6739,13.0,0.0001929069594895385,1,0
"Bent County, Colorado",8011,5861,0.0,0.0,0,1
"Benton County, Arkansas",5007,258291,136.0,5.265378971779892e-05,0,0
"Benton County, Indiana",18007,8650,0.0,0.0,0,1
"Benton County, Iowa",19011,25699,11.0,4.280322191524962e-05,0,0
"Benton County, Minnesota",27009,39992,12.0,3.000600120024005e-05,0,0
"Benton County, Mississippi",28009,8264,0.0,0.0,0,1
"Benton County, Missouri",29015,18839,0.0,0.0,0,1
"Benton County, Oregon",41003,89385,27.0,3.020641047155563e-05,0,0
"Benton County, Tennessee",47005,16014,0.0,0.0,0,1
"Benton County, Washington",53005,193686,72.0,3.717356959202007e-05,0,0
"Benzie County, Michigan",26019,17572,0.0,0.0,0,1
"Bergen County, New Jersey",34003,939151,527.0,5.611451193684509e-05,0,0
"Berkeley County, South Carolina",45015,210898,76.0,3.603637777503817e-05,0,0
"Berkeley County, West Virginia",54003,113525,39.0,3.43536665932614e-05,0,0
"Berks County, Pennsylvania",42011,414812,247.0,5.9545046912818336e-05,0,0
"Berkshire County, Massachusetts",25003,126903,79.0,6.225227141990338e-05,0,0
"Bernalillo County, New Mexico",35001,676953,654.0,9.660936579053494e-05,1,0
"Berrien County, Georgia",13019,18993,0.0,0.0,0,1
"Berrien County, Michigan",26021,154010,92.0,5.973638075449646e-05,0,0
"Bertie County, North Carolina",37015,19854,0.0,0.0,0,1
"Bethel Census Area, Alaska",2050,17968,29.0,0.0001613980409617097,1,0
"Bexar County, Texas",48029,1928680,858.0,4.4486384470207604e-05,0,0
"Bibb County, Alabama",1007,22643,12.0,5.299651106302169e-05,0,0
"Bibb County, Georgia",13021,152760,36.0,2.356637863315004e-05,0,0
"Bienville Parish, Louisiana",22013,13865,0.0,0.0,0,1
"Big Horn County, Montana",30003,13343,0.0,0.0,0,1
"Big Horn County, Wyoming",56003,12005,0.0,0.0,0,1
"Big Stone County, Minnesota",27011,5050,0.0,0.0,0,1
"Billings County, North Dakota",38007,934,0.0,0.0,0,1
"Bingham County, Idaho",16011,45201,20.0,4.424680869892259e-05,0,0
"Black Hawk County, Iowa",19013,132904,81.0,6.0946246915066513e-05,0,0
"Blackford County, Indiana",18009,12149,0.0,0.0,0,1
"Bladen County, North Carolina",37017,33741,0.0,0.0,0,1
"Blaine County, Idaho",16013,21791,0.0,0.0,0,1
"Blaine County, Montana",30005,6601,0.0,0.0,0,1
"Blaine County, Nebraska",31009,484,0.0,0.0,0,1
"Blaine County, Oklahoma",40011,9643,0.0,0.0,0,1
"Blair County, Pennsylvania",42013,124650,51.0,4.091456077015644e-05,0,0
"Blanco County, Texas",48031,11392,0.0,0.0,0,1
"Bland County, Virginia",51021,6513,0.0,0.0,0,1
"Bleckley County, Georgia",13023,12970,0.0,0.0,0,1
"Bledsoe County, Tennessee",47007,14675,0.0,0.0,0,1
"Blount County, Alabama",1009,57704,15.0,2.59947317343685e-05,0,0
"Blount County, Tennessee",47009,128670,51.0,3.963627885287946e-05,0,0
"Blue Earth County, Minnesota",27013,66441,30.0,4.515284237142728e-05,0,0
"Boise County, Idaho",16015,7124,0.0,0.0,0,1
"Bolivar County, Mississippi",28011,32737,0.0,0.0,0,1
"Bollinger County, Missouri",29017,12052,0.0,0.0,0,1
"Bon Homme County, South Dakota",46009,6984,0.0,0.0,0,1
"Bond County, Illinois",17005,16824,0.0,0.0,0,1
"Bonner County, Idaho",16017,42536,16.0,3.761519653940192e-05,0,0
"Bonneville County, Idaho",16019,112232,64.0,5.702473447858008e-05,0,0
"Boone County, Arkansas",5009,37304,0.0,0.0,0,1
"Boone County, Illinois",17007,53503,20.0,3.7381081434685906e-05,0,0
"Boone County, Indiana",18011,64653,23.0,3.5574528637495556e-05,0,0
"Boone County, Iowa",19015,26532,10.0,3.769033619779888e-05,0,0
"Boone County, Kentucky",21015,128536,51.0,3.96776000497915e-05,0,0
"Boone County, Missouri",29019,176594,54.0,3.057861535499507e-05,0,0
"Boone County, Nebraska",31011,5332,0.0,0.0,0,1
"Boone County, West Virginia",54005,22816,0.0,0.0,0,1
"Borden County, Texas",48033,633,0.0,0.0,0,1
"Bosque County, Texas",48035,18097,0.0,0.0,0,1
"Bossier Parish, Louisiana",22015,126057,37.0,2.9351801169312296e-05,0,0
"Botetourt County, Virginia",51023,33231,10.0,3.009238361770636e-05,0,0
"Bottineau County, North Dakota",38009,6579,0.0,0.0,0,1
"Boulder County, Colorado",8013,322226,281.0,8.720587413802735e-05,1,0
"Boundary County, Idaho",16021,11681,0.0,0.0,0,1
"Bourbon County, Kansas",20011,14617,0.0,0.0,0,1
"Bourbon County, Kentucky",21017,20030,0.0,0.0,0,1
"Bowie County, Texas",48037,93860,37.0,3.942041338163222e-05,0,0
"Bowman County, North Dakota",38011,3241,0.0,0.0,0,1
"Box Butte County, Nebraska",31013,11194,0.0,0.0,0,1
"Box Elder County, Utah",49003,53139,36.0,6.77468525941399e-05,0,0
"Boyd County, Kentucky",21019,48132,13.0,2.700905842267099e-05,0,0
"Boyd County, Nebraska",31015,1982,0.0,0.0,0,1
"Boyle County, Kentucky",21021,30018,0.0,0.0,0,1
"Bracken County, Kentucky",21023,8400,0.0,0.0,0,1
"Bradford County, Florida",12007,26926,14.0,5.1994354898611005e-05,0,0
"Bradford County, Pennsylvania",42015,60770,42.0,6.911304920190884e-05,1,0
"Bradley County, Arkansas",5011,10996,0.0,0.0,0,1
"Bradley County, Tennessee",47011,104490,40.0,3.828117523207963e-05,0,0
"Branch County, Michigan",26023,43427,22.0,5.0659727819098715e-05,0,0
"Brantley County, Georgia",13025,18355,0.0,0.0,0,1
"Braxton County, West Virginia",54007,14471,0.0,0.0,0,1
"Brazoria County, Texas",48039,354195,104.0,2.9362356893801436e-05,0,0
"Brazos County, Texas",48041,220417,33.0,1.4971621971082086e-05,0,0
"Breathitt County, Kentucky",21025,13284,0.0,0.0,0,1
"Breckinridge County, Kentucky",21027,19961,0.0,0.0,0,1
"Bremer County, Iowa",19017,24798,0.0,0.0,0,1
"Brevard County, Florida",12009,579130,499.0,8.616372835114741e-05,1,0
"Brewster County, Texas",48043,9200,0.0,0.0,0,1
"Briscoe County, Texas",48045,1474,0.0,0.0,0,1
"Bristol Bay Borough, Alaska",2060,898,0.0,0.0,0,1
"Bristol County, Massachusetts",25005,558324,429.0,7.683710533668623e-05,1,0
"Bristol County, Rhode Island",44001,49067,26.0,5.298877045672244e-05,0,0
"Bristol city, Virginia",51520,16960,0.0,0.0,0,1
"Broadwater County, Montana",30007,5747,0.0,0.0,0,1
"Bronx County, New York",36005,1455720,617.0,4.23845244964691e-05,0,0
"Brooke County, West Virginia",54009,22977,13.0,5.6578317447882664e-05,0,0
"Brookings County, South Dakota",46011,34135,0.0,0.0,0,1
"Brooks County, Georgia",13027,15687,0.0,0.0,0,1
"Brooks County, Texas",48047,7214,0.0,0.0,0,1
"Broome County, New York",36007,195334,101.0,5.170630816959669e-05,0,0
"Broomfield County, Colorado",8014,66529,26.0,3.908070164890499e-05,0,0
"Broward County, Florida",12011,1909632,1254.0,6.56671023527046e-05,0,0
"Brown County, Illinois",17009,6762,0.0,0.0,0,1
"Brown County, Indiana",18013,14912,0.0,0.0,0,1
"Brown County, Kansas",20013,9684,0.0,0.0,0,1
"Brown County, Minnesota",27015,25331,10.0,3.947732027949943e-05,0,0
"Brown County, Nebraska",31017,2960,0.0,0.0,0,1
"Brown County, Ohio",39015,43759,28.0,6.398683699353276e-05,0,0
"Brown County, South Dakota",46013,39128,0.0,0.0,0,1
"Brown County, Texas",48049,38271,0.0,0.0,0,1
"Brown County, Wisconsin",55009,260401,192.0,7.373243574333432e-05,1,0
"Brule County, South Dakota",46015,5238,0.0,0.0,0,1
"Brunswick County, North Carolina",37019,126953,60.0,4.726158499602215e-05,0,0
"Brunswick County, Virginia",51025,16243,0.0,0.0,0,1
"Bryan County, Georgia",13029,36230,0.0,0.0,0,1
"Bryan County, Oklahoma",40013,45573,17.0,3.73027889320431e-05,0,0
"Buchanan County, Iowa",19019,20992,0.0,0.0,0,1
"Buchanan County, Missouri",29021,88938,50.0,5.621893903618251e-05,0,0
"Buchanan County, Virginia",51027,22178,0.0,0.0,0,1
"Buckingham County, Virginia",51029,17048,0.0,0.0,0,1
"Bucks County, Pennsylvania",42017,626399,448.0,7.151990983382797e-05,1,0
"Buena Vista County, Iowa",19021,20332,0.0,0.0,0,1
"Buena Vista city, Virginia",51530,6452,0.0,0.0,0,1
"Buffalo County, Nebraska",31019,49383,13.0,2.6324848632120367e-05,0,0
"Buffalo County, South Dakota",46017,2043,10.0,0.0004894762604013706,1,0
"Buffalo County, Wisconsin",55011,13099,0.0,0.0,0,1
"Bullitt County, Kentucky",21029,79151,27.0,3.4112013745878135e-05,0,0
"Bulloch County, Georgia",13031,74722,12.0,1.6059527314579375e-05,0,0
"Bullock County, Alabama",1011,10362,0.0,0.0,0,1
"Buncombe County, North Carolina",37021,256088,192.0,7.497422760925931e-05,1,0
